year,consumption,income,wealth,interest,lnconsump,lndpi,lnwealth,dlnconsump,dlndpi,dlnwealth,dinterest,rlnconsump,rlndpi,rlnwealth,rinterest,dconsump,dincome,dwealth,rconsump,rincome,rwealth,rinterest2,time
1947,976.4000244,1035.199951,5166.814941,-10.35093975,6.883872509,6.942349911,8.550011635,,,,,,,,,,,,,,,,1
1948,998.0999756,1090,5280.756836,-4.71980381,6.905853271,6.993933201,8.571825027,0.021980762,0.05158329,0.021813393,5.631135941,4.670861721,4.739955902,5.795886993,-1.359157085,21.69995117,54.80004883,113.9418945,704.3560181,778.5664063,3726.352051,-1.6057868,2
1949,1025.300049,1095.599976,5607.351074,1.044062972,6.932740688,6.999057293,8.63183403,0.026887417,0.005124092,0.060009003,5.763866901,4.690612316,4.728332043,5.848813534,2.576444864,27.20007324,5.599975586,326.5942383,725.027771,767.6801147,4018.667725,2.463987112,3
1950,1090.900024,1192.699951,5759.515137,0.40734601,6.994758129,7.083974838,8.658608437,0.062017441,0.084917545,0.026774406,-0.636716962,4.743900299,4.811585903,5.856104851,0.068369366,65.59997559,97.09997559,152.1640625,782.4447632,863.0953979,4072.577881,0.093246043,4
1951,1107.099976,1227,6086.056152,-5.283152103,7.009499073,7.112327576,8.713755608,0.014740944,0.028352737,0.055147171,-5.690498352,4.738506317,4.812368393,5.90255928,-5.415405273,16.19995117,34.30004883,326.5410156,778.9093628,868.1835327,4353.341309,-5.40569973,5
1952,1142.400024,1266.800049,6243.86377,-0.277011007,7.040886402,7.144249439,8.739354134,0.031387329,0.031921864,0.025598526,5.006141186,4.765107632,4.835084915,5.910253048,1.438273668,35.30004883,39.80004883,157.8076172,809.3357544,897.6646118,4412.911133,1.312393069,6
1953,1197.199951,1327.5,6355.612793,0.561137021,7.087740898,7.191052914,8.75709343,0.046854496,0.046803474,0.017739296,0.838147998,4.801771641,4.871524334,5.919681072,0.65107435,54.79992676,60.69995117,111.7490234,853.5158691,946.3909302,4477.18457,0.644474089,7
1954,1221.900024,1344,6797.026855,-0.138475999,7.108162403,7.20340538,8.824240685,0.020421505,0.012352467,0.067147255,-0.699613035,4.80698061,4.868681431,5.981069088,-0.32066074,24.70007324,16.5,441.4140625,861.7297363,944.6297607,4884.979492,-0.307290643,8
1955,1310.400024,1433.800049,7172.242188,0.261997014,7.178087711,7.268083572,8.877973557,0.069925308,0.064678192,0.053732872,0.400472999,4.870275497,4.929348946,6.013001442,0.306956112,88.5,89.80004883,375.215332,942.7988892,1029.46582,5127.398438,0.303656667,9
1956,1348.800049,1502.300049,7375.180176,-0.736123979,7.206970692,7.314752579,8.905875206,0.02888298,0.046669006,0.027901649,-0.998121023,4.876455784,4.955018997,6.023457527,-0.821186721,38.40002441,68.5,202.9379883,954.5742188,1070.950073,5217.455078,-0.814944208,10
1957,1381.800049,1539.5,7315.286133,-0.260683,7.231142521,7.339212894,8.897721291,0.024171829,0.024460316,-0.008153915,0.475440979,4.89125061,4.964327335,6.006244659,-0.021685122,33,37.19995117,-59.89404297,976.0217896,1087.542236,5096.508301,-0.039224599,11
1958,1393,1553.699951,7869.975098,-0.574630022,7.239214897,7.348394394,8.970809937,0.008072376,0.009181499,0.073088646,-0.313947022,4.891474724,4.965567112,6.081980705,-0.4899939,11.19995117,14.19995117,554.6889648,977.2938843,1090.550781,5669.21582,-0.496205121,12
1959,1470.699951,1623.800049,8188.054199,2.295943022,7.293493748,7.392524242,9.01043129,0.054278851,0.044129848,0.039621353,2.870573044,4.943132877,5.006715775,6.097872257,2.482508659,77.69995117,70.10009766,318.0791016,1051.62439,1156.378906,5820.42041,2.468816996,13
1960,1510.800049,1664.800049,8351.756836,1.511180997,7.320394516,7.417460442,9.030227661,0.026900768,0.024936199,0.019796371,-0.784762025,4.952410698,5.017324448,6.104804516,0.765755594,40.10009766,41,163.7026367,1068.348999,1176.289673,5888.430664,0.820460558,14
1961,1541.199951,1720,8971.87207,1.296432018,7.340316772,7.450079441,9.101849556,0.019922256,0.032618999,0.071621895,-0.214748979,4.963599205,5.041847229,6.169999123,0.805795848,30.39990234,55.19995117,620.1152344,1086.684937,1219.155029,6459.296875,0.841802478,15
1962,1617.300049,1803.5,9091.544922,1.395921946,7.388513565,7.497484684,9.115099907,0.048196793,0.047405243,0.013250351,0.099489927,5.005327702,5.078662395,6.159996033,0.975008488,76.10009766,83.5,119.6728516,1153.639404,1286.048462,6392.412109,1.005898237,16
1963,1684,1871.5,9436.09668,2.057615995,7.428927422,7.534495354,9.152297974,0.040413857,0.03701067,0.037198067,0.66169405,5.03009367,5.100281715,6.192892075,1.604401112,66.69995117,68,344.5517578,1197.44519,1328.928101,6700.960938,1.637661457,17
1964,1784.800049,2006.900024,10003.40039,2.02659893,7.487061501,7.604346752,9.210680008,0.058134079,0.069851398,0.058382034,-0.031017065,5.075106621,5.158116817,6.239197254,1.358551383,100.8000488,135.4000244,567.3037109,1278.178955,1443.870728,7164.608398,1.407577753,18
