country,ticpi,gdp_cap
Argentina,3,8278.544922
Australia,8.699999809,20930.21094
Austria,7.5,26577.10938
Belarus,3.900000095,1511.770264
Belgium,5.400000095,25006.04688
Bolivia,2.799999952,1064.709595
Botswana,6.099999905,3126.78833
Brazil,4,4988.280273
Bulgaria,2.900000095,1542.531128
Cameroon,1.399999976,636.3432007
Canada,9.199999809,20390.38867
Chile,6.800000191,5277.779297
China,3.5,820.8630981
Colombia,2.200000048,2562.307129
Costa Rica,5.599999905,3758.506348
Czech Republic,4.800000191,6007.506836
Denmark,10,32758.5918
Ecuador,2.299999952,1943.076904
Egypt,2.900000095,1255.359253
El Salvador,3.599999905,2042.649536
Estonia,5.699999809,4038.497803
Finland,9.600000381,25274.22852
France,6.699999809,24508.73047
Germany,7.900000095,26624.78516
Ghana,3.299999952,401.6094666
Greece,4.900000095,12599.33301
Guatemala,3.099999905,1809.780396
Honduras,1.700000048,870.640564
Hong Kong,7.800000191,25506.82617
Hungary,5,4582.760742
Iceland,9.300000191,30261.77539
India,2.900000095,423.8035889
Indonesia,2,477.8016357
Ireland,8.199999809,23732.50195
Israel,7.099999905,18403.38086
Italy,4.599999905,21385.80664
Ivory Coast,3.099999905,779.4102783
Jamaica,3.799999952,3419.204346
Japan,5.800000191,30508.27148
Jordan,4.699999809,1721.433472
Kenya,2.5,472.2301331
Latvia,2.700000048,2745.625488
Luxembourg,8.699999809,45570.65234
Malawi,4.099999905,158.0547943
Malaysia,5.300000191,3248.740967
Mauritius,5,3593.241455
Mexico,3.299999952,4422.15332
Morocco,3.700000048,1409.460938
Namibia,5.300000191,1949.123291
Netherlands,9,25649.65625
New Zealand,9.399999619,14264.6123
Nicaragua,3,723.5706787
Nigeria,1.899999976,270.3451538
Norway,9,34101.79297
Pakistan,2.700000048,472.6478882
Paraguay,1.5,1542.69873
Peru,4.5,2251.869629
Philippines,3.299999952,873.7626953
Poland,4.599999905,4471.650879
Portugal,6.5,11703.18066
Romania,3,1871.550171
Russia,2.400000095,1844.48584
Senegal,3.299999952,538.6765137
Singapore,9.100000381,20981.72461
Slovak Republic,3.900000095,5427.605957
South Africa,5.199999809,3205.168701
South Korea,4.199999809,7462.838867
Spain,6.099999905,15126.43457
Sweden,9.5,28592.64648
Switzerland,8.899999619,38344.92578
Tanzania,1.899999976,265.8750916
Thailand,3,1821.841431
Tunisia,5,2122.794922
Turkey,3.400000095,4177.433594
Uganda,2.599999905,286.6127319
Ukraine,2.799999952,835.2603149
United Kingdom,8.699999809,24893.48828
United States,7.5,31518.84766
Uruguay,4.300000191,7754.324219
Venezuela,2.299999952,3901.189209
Vietnam,2.5,355.5881042
Zambia,3.5,326.1610413
Zimbabwe,4.199999809,495.3057861
