"IMF_SBA","IMF_PRGF_ESF","IMF_All","GDP_pctchng","IP_pctchng","FX_FebSep_chng","FX_JunJun_chng","Equity_SepFeb_chng","Equity_SepFeb_Sharpe","Equity_JunJun_chng","Equity_JunJun_Sharpe","EquityVarDummy","FXVarDummy","GDPVarDummy","IPVarDummy","fx_res_index","Savings_pct_GNI","AgriExports_pct_MerchExp","AgriImp_pct_MerchImp","AgriValueAdd_pct_GDP","AgriValueAdd_pct_Growth","Aid_pct_GNI","BankLiquidRestoAss","BusinessDisclosure","ReservesChangesUSD","ClaimsOnGovOtherPublicLCU","ClaimOnGov_pct_anngrowth","ClaimsOnPriv_pct_anngrowth","CPIlevel","CreditDepthofInfo","CA_pct_GDP","CAUSD","CurrentTransfersReceiptsUSD","ExtDebtServicePPGIMF_pct_Exports","ExtDebtServicePPGUSD","ExtDebtServiceTotalUSD","DepositInterestRate","domesticcreditbybanks_pct_gdp","domesticcredittotal_pct_gdp","ExportsAsCapacityToImport","Exports_pct_GDP","Exports_pct_GrowthAnn","ExportsUSDBoP","Exports2000USD","ExportsconstantLCU","ExportscurrentLCU","ExportsUSD","ExportsAndIncomeBoPUSD","TradeBalance_pct_GDP","TradeBalanceLCUconst","TradeBalanceLCUcurrent","TradeBalanceUSDcurrent","Consumption_pct_GDP","FinancingViaInterCapMarkets_pct_GDP","FoodExp_pct_Exp","FoodImp_pct_Imp","FDIcurrentUSD","FDIinflows_pct_GDP","FDIinflowsUSD","FDIoutflows_pct_GDP","GDPUSD2000","GDPLCUconstant","GDPLCUcurrent","GDPcurrentUSD","GDPdeflator","GDPgrowth_pct_","GDPpercapita2000USD","GDPpercapitaLCUconstant","GDPpercapitaCurrentUSD","GDPpercapitaGrowth","GDPpercapitaPPP2005USD","GDPpercapitaPPPcurrentUSD","GDPPPP2005USD","GDPPPPcurrentUSD","GovExp_pct_GDP","GovExp_pct_Growth","GovExp2000USD","GovExpconstnantLCU","GovExpcurrentLCU","GovExpcurrentUSD","GNIcurrentLCU","GNIUSD","GNIPPPUSD","GoodsExpUSD","GoodsImpUSD","Investment_pct_GDP","Investment_pct_growth","SavingsDomestic_pct_GDP","SavingsGross_pct_GDP","SavingsGross_pct_GNI","SavingsGrossLCUcurrent","SavingsGrossUSD","Consumption_pct_Growth","ConsumptionUSD2000","ConsumptionLCUconstant","ConsumptionLCUcurrent","ConsumptionUSD","Imports_pct_GDP","Imports_pct_Growth","ImportsBoPUSD","ImportsUSD2000","ImportsLCUconstant","Importscurrent","ImportsUSD","ImportsandIncomeBoPUSD","dontuse10","GDPdeflator_pct_annual","LendingMinusDepositRate","LendingRate","M3_pct_GDP","ManufactureExports_pct_Total","ManufactureImports_pct_total","StockMarketCap_pct_GDP","StockMarkCapUSDcurrent","ExportsMerchUSD","ImportsMerchUSD","MerchandiseTrade_pct_GDP","M1LCU","M2LCU","M2_pct_GDP","M2toTotal_Reserves","M2growth_pct_","MultilateralDebtService_pct_PPGDebtService","MultilateralDebtServUSD","CapitalAccountUSD","CurrentTransfersUSD","DomesticCreditLCU","FinancialFlowsUSD","ForeignAssetsNetLCUcurrent","IncomeNetBoPUSD","IncomefromabroadLCUcurrent","IncomefromabroadUSDcurrent","PortfolioInvBondsUSD","PortfolioInvEquityUSD","other","DebtExternalPVof_pct_Exports","DebtExternalPV_pct_GNI","DebtExternalPVUSD","DebtServicePPG_pct_Exports","DebtServicePPG_pct_GNI","quasi_liq_liab_pct_GDP","REER","RealInterestRate","ServiceExportsUSD","ServiceImportsUSD","DebtST_pct_Exports","DebtST_pct_TotalExternal","DebtST_pct_Reserves","LegalRightsIndex","TermsofTradeAdjustment","DebtService_pct_GNI","Reserves_pct_ExtDebt","ReservesUSD","ReservesInMonthsImports","ReservesLessGold","Services_pct_GDP","Unemployment_pct_","IMFcreditUSD","RemittancesPaidUSD","RemittancesReceived_pct_GDP","RemittancesReceivedUSD","RemittancesNetUSD","GDPgrowth2007","GDPGrowthLast5yrs","GDPGrowthLastTenYears","CPI2007","CPIAvLast5Years","CPIAvLast10Years","CA2007_pct_GDP","CAAvLast5Yrs_pct_GDP","CAAvLast10yrs_pct_GDP","WDIDummy","EuroArea","peg","financiallyclosed","LowIncome","MiddleIncome","UpperIncome","OECD","SouthAsia","EuropeCentralAsia","MENA","EAPacific","SubSaharan","LatAmCarribean","NorthAmerica","Equity5yr_pct_chng","Equity5yrSharpe","REER5yr_pct_rise","REERDevFrom10yrAv","credit_domestic_pct_gdp","credit_domestic_pctGDP_5yr_rise","credit_domestic_pctGDP_10yr_rise","m3_5yr_chng","m2_5yr_chng"
"Afghanistan",0,0,0,NA,NA,-0.016495246,-0.002392822,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,37.4741,NA,38.8487,15.0484,0,NA,-36650791828,-7.8451,20.12,121.0319,0,NA,NA,NA,1.6664,19355000,19552000,NA,0.1973,6.5666,NA,17.287,NA,NA,NA,NA,87408118042,1758007201,NA,-39.3059,NA,-199000000000,-3997235556,108.7234,0,NA,NA,NA,2.836,288405548.2,NA,NA,364000000000,506000000000,10169548111,138.9866,16.1777,NA,NA,NA,NA,NA,NA,28899286806,30601937485,10.6006,NA,NA,NA,53600000000,1078037007,506000000000,10170418941,30604557965,NA,NA,30.5825,NA,-8.7234,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5929,NA,NA,NA,NA,286000000000,5755242758,NA,16.9507,6.7575,NA,18.135,23.4529,NA,NA,NA,NA,497000000,2819000000,32.6072,70925038758,119000000000,19.7608,NA,45.9542,52.2397,10111000,NA,NA,997587805.8,6865000,148000000000,NA,NA,NA,0,0,NA,79.8764,17.5804,1424600406,NA,0.1903,9.4258,NA,10.6574,NA,NA,NA,1.0286,NA,1,NA,0.1922,NA,NA,NA,NA,NA,NA,58873000,NA,NA,NA,NA,16.1777,13.12752,NA,16.9507,NA,NA,NA,NA,NA,1,0,1,NA,1,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,0.00197296,NA,NA,NA,NA
"Albania",0,0,0,NA,NA,-0.156596734,-0.171495777,NA,NA,NA,NA,0,1,0,0,0.096342118,8.3127,3.3844,0.9333,21.4297,NA,2.7414,11.1307,0,-209330452.5,306000000000,2.1126,14.1547,105.3729,0,-10.6248,-1150791803,1673567000,4.0945,86405000,142385000,5.6591,61.3145,29.5959,258000000000,27.8462,7.5293,3024609698,1487863373,185000000000,273000000000,3016085391,3407026111,-26.4717,-318000000000,-259000000000,-2867214609,96.5288,0,5.3044,16.4345,647438679.9,4.401,476680000,0.137,5335186168,545000000000,980000000000,10831224735,179.8232,6,1703.1948,173925.0268,3457.7398,5.6377,6811.3815,7150.6378,21336366468,22399072625,8.9569,4.9277,388197234.1,49372677923,87751116567,970146028.6,1010000000000,11132824735,23022784206,1078721023,3978321887,29.9429,11.8187,3.4712,19.763,19.2276,194000000000,2140572634,6.1051,3477055658,485000000000,858000000000,9485106073,54.318,28.153,5904357012,3818506309,503000000000,532000000000,5883300000,5989440970,2.9327,3.1598,8.4405,14.0996,77.3303,70.2839,65.1286,NA,NA,1072000000,4196000000,48.6372,224000000000,758000000000,72.679,3.8752,13.6748,51.166,44210000,123637772.2,1431623057,601000000000,6705000,232000000000,297332454.1,27280157806,301600000,0,0,25815782.99,60.7943,21.877,2116561690,2.5361,0.7761,54.4238,NA,10.6047,1945888676,1926035126,17.5583,29.8023,38.2654,9,73050204479,1.279,77.8833,2161936592,4.3315,2104224667,35.7478,NA,90076000,9910000,13.5534,1468000000,1304549244,6,5.62,6.81,2.9327,2.0868,4.23944,-10.6248,-7.36278,-6.24344,1,0,NA,1,0,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0.613144996,0.142722214,0.032406574,12.0001918,8.526621857
"Algeria",0,0,0,NA,NA,-0.157736675,-0.141177918,NA,NA,NA,NA,0,1,0,0,0.167799955,46.294,0.0056,2.2794,8.1779,5.9,0.294,70.2663,6,NA,-2580000000000,-19.8652,3.8906,106.1415,2,NA,NA,NA,NA,790546000,1445338000,1.75,-3.4769,13.4454,109000000000,47.1299,-0.6,NA,26601216865,134000000000,4390000000000,63297349728,NA,23.5768,79872253952,2190000000000,31664549080,43.4635,0.306,0.163,19.8343,NA,1.2394,1664600000,NA,73085187685,337000000000,9310000000000,134000000000,2765.3905,3,2158.9191,9940.8361,3967.3114,1.474,7316.7797,7747.8602,248000000000,262000000000,11.9608,7.1,10150188206,55739904000,1110000000000,16063903424,9190000000000,133000000000,259000000000,NA,NA,33.6904,7.3554,56.5365,56.8418,57.5748,5290000000000,76340845079,4.7,32782088464,116000000000,2930000000000,42309357713,23.5531,7.6,NA,19465688184,54416035840,2190000000000,31632800647,NA,3.5212,6.7921,6.25,8,60.1955,0.9411,74.8799,NA,NA,60163160000,27631000000,65.3697,3700000000000,5620000000000,54.747,0.7049,22.7639,2.9945,23673000,NA,NA,-350000000000,-134138000,7400000000000,NA,-118000000000,-1709996656,0,0,NA,8.6602,4.452,5086714140,NA,0.5962,20.5328,82.3258,1.1311,NA,NA,NA,12.9448,0.6238,3,-25401599064,1.09,2075.063,115000000000,NA,110000000000,NA,NA,0,NA,1.5785,2120000000,NA,3,4.44,4,3.5212,2.76764,2.74174,NA,NA,NA,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,NA,NA,-0.099322336,-0.139637106,-0.037581987,-0.413670143,-0.423494164,0.833293822,-0.509421539
"American_Samoa",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,450000000,650000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",0,0,0,NA,NA,-0.11482492,-0.10914305,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,0,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola",1,0,1,NA,NA,-0.009610307,-0.036150168,NA,NA,NA,NA,0,1,0,0,0.17682484,17.5132,NA,NA,9.6979,21.63,0.4777,16.4725,5,-3019050009,-417000000000,0.749,33.6725,127.1814,4,15.8649,9402098518,45700000,10.0125,4479597000,4582817000,6.7564,1.9237,10.5465,NA,73.9232,NA,44706903726,NA,NA,3360000000000,43809421609,44739877726,33.5255,NA,1520000000000,19868331688,52.1093,6.0345,NA,NA,-1805130000,-1.5074,-893340000,1.5385,21298396078,4642178392,4550000000000,59263421375,97925.1467,20.2796,1213.2669,264.4425,3375.9511,17.0903,4875.3579,5162.5979,85584884910,90627264098,NA,NA,NA,NA,NA,NA,3870000000000,50485402471,77203674656,44396193769,13661464164,14.3653,NA,47.8907,32.8105,38.5153,1490000000000,19444603968,NA,NA,NA,NA,NA,40.3978,NA,26304714208,NA,NA,1840000000000,23941089921,35115859208,12.2487,4.1251,10.9424,17.6988,18.7622,NA,NA,NA,NA,44396200000,13661000000,97.9646,312000000000,853000000000,16.1519,0.9931,38.5521,0.2173,9732000,7170000,-221920000,87450358336,665021000,1020000000000,-8778171000,-979000000000,-12765542947,0,0,-2015420000,35.3313,31.5318,12076623130,10.0125,8.8731,11.9089,NA,13.036,310709956.8,12643250043,5.0607,17.7744,20.2215,4,NA,9.0775,87.8989,11196800894,3.8262,11196800894,21.8583,NA,0,602670000,NA,NA,NA,20.2796,14.78944,10.46364,12.2487,38.05626,113.22173,15.8649,10.92422,-1.07501,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,0.019237363,-0.034557945,-0.081035316,-3.058813164,1.02177381
"Antigua_and_Barbuda",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.179649567,NA,2.5394,2.3931,NA,NA,0.3851,5.7663,4,-833733.4148,264875019,2.3238,9.5905,NA,0,-34.7874,-401721884.8,42108093.7,NA,NA,NA,3.5239,86.7491,73.245,NA,NA,NA,580693755.2,NA,NA,NA,NA,611737153.3,NA,NA,NA,NA,NA,NA,37.9702,20.0501,390946346.3,33.8542,390946346.3,0,NA,2212420000,3117940000,1154792572,140.9289,8.5323,NA,26085.6934,13615.6629,7.6154,19395.8609,20538.6011,1645031627,1741951465,NA,NA,NA,NA,NA,NA,2938040000,1088162944,1641443736,83127915.93,653065617.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,947221969.6,NA,NA,NA,NA,1034058196,NA,8.4747,6.9146,10.4385,103.6367,58.9428,70.5762,NA,NA,76000000,728000000,69.6229,795882560,3231331560,98.3482,8.3198,11.366,NA,NA,11111111.11,20599157.41,2704785019,NA,887075222,-55792827.78,-179900000,-66629628.45,NA,NA,-6012015.185,NA,NA,NA,NA,NA,78.1161,91.285,1.8104,497565839.3,294156351.9,NA,NA,NA,7,NA,NA,NA,143848808.5,1.6693,143848808.5,68.5597,NA,NA,2060000,2.036,23512000,12410480,8.5323,7.96746,5.46045,NA,NA,NA,-34.7874,NA,NA,1,0,1,NA,0,0,1,0,0,0,0,0,0,0,0,NA,NA,-0.090116949,-0.073488989,0.867491042,-0.083871824,0.053273666,NA,NA
"Argentina",0,0,0,0.011115812,-0.05955078,-0.151428493,-0.202734746,-0.390169895,-1.724321862,-0.246647089,-1.090035324,1,1,1,1,0.089731929,NA,1.2387,1.2758,9.3949,9.8367,0.0319,18.8093,6,-13074594022,114000000000,-1.135,15.2226,120.6953,6,2.7063,7102688599,1586628916,6.5326,4750813000,9523789000,7.9716,28.5029,14.4613,57743023675,24.6265,9.0143,66120421376,49906047471,50446203961,200000000000,64632570956,72761204828,4.2894,2760787397,34849650181,11257619775,71.5096,4.4311,50.4038,3.7004,4968924801,2.4623,6462210000,0.5731,370000000000,359000000000,812000000000,262000000000,226.2038,8.6533,9356.5083,9092.1111,6643.7412,7.6379,12501.6228,13238.1772,494000000000,523000000000,12.9254,7.6309,45591868888,42341265983,105000000000,33922912877,796000000000,257000000000,512000000000,55779600000,42524500000,24.201,13.1004,28.4904,26.6276,27.1757,216000000000,69884453079,9.0545,246000000000,235000000000,476000000000,154000000000,20.3371,20.632,53365697541,45294659195,47685416564,165000000000,53374951180,65933299321,8.8314,14.1649,3.0804,11.052,30.8205,30.956,85.1625,33.0287,86684200000,55778800000,44706800000,38.2874,106000000000,250000000000,27.7397,1.7495,24.4656,72.2208,3431074000,232195392.9,274783090.9,227000000000,184000,142000000000,-5926818327,-16383877446,-5292548470,4227230000,1784900000,7068798511,219.2416,63.3683,136000000000,6.5293,1.8474,17.6881,NA,-2.7267,10340821376,10841197541,51.9319,29.7964,82.4869,4,7296819714,3.7035,36.1225,46149457445,8.3993,44682057445,8.0709,NA,0,504360000,0.2311,606610000,541077142.9,8.6533,8.833,2.85374,8.8314,9.44608,7.08498,2.7063,3.51242,1.253,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.098923707,1.192131197,NA,NA,0.279507332,-0.339768601,-0.020155306,2.877202238,2.111606275
"Armenia",1,0,1,NA,-0.055555556,-0.167737045,-0.161357341,NA,NA,NA,NA,0,1,0,1,-0.175217847,18.9078,2.9808,0.7943,20.2821,10.2282,3.7071,17.7699,5,-559639796.9,-55950609177,-4.712,39.7063,107.4272,5,-6.4056,-589603381.7,1024770000,1.9737,26644000,188977000,6.2543,12.1367,13.5806,425000000000,19.1894,-3.5,1776760000,1043693715,446000000000,604000000000,1766283618,2587509450,-19.9691,-420000000000,-629000000000,-1838048994,82.1987,0.163,7.9229,17.3188,700960000,7.5921,698810000,-0.0232,4379161192,1840000000000,3150000000000,9204472930,171.396,13.7,1425.2994,597917.2058,2995.8089,13.5529,5261.3151,5571.2944,16165127595,17117523606,10.1752,14.6,473786539.9,155000000000,320000000000,936571562.2,3240000000000,9483262930,17635988318,1196660000,2796910000,37.79,18.3,17.8013,31.0943,30.1802,979000000000,2862064383,12.2,3355812073,1490000000000,2260000000000,6594547767,39.1585,13,3589510000,2026913106,867000000000,1230000000000,3604332612,4121872832,4.4074,4.2574,11.2614,17.5157,21.9567,55.9211,58.8892,1.1407,105000000,1152300000,3267800000,48.0212,459000000000,691000000000,18.6917,1.2181,42.3288,86.8,23127000,142750000,944760000,382000000000,94784000,374000000000,278386618.3,95368483200,278790000,0,200000,-9224023.486,117.4875,37.9575,2671682030,1.0297,0.281,7.3931,122.6733,12.7168,580100000,792600000,17.1183,15.8961,27.6712,6,-21641401945,1.9927,57.4465,1659090464,4.8301,1659090464,14.9134,NA,157903000,176135000,9.1897,845865000,94360000,13.7,13.06,10.45863,4.4074,3.925,3.23607,-6.4056,-3.31862,-8.55074,1,0,NA,0,0,1,0,0,0,1,0,0,0,0,0,NA,NA,0.558727783,0.364506639,0.121366672,0.04758666,0.041647235,6.405104571,5.112090187
"Aruba",0,0,0,NA,NA,0,0,NA,NA,NA,NA,0,1,0,0,0.368705399,NA,1.005,2.6584,NA,NA,NA,11.4513,NA,-44150837.99,-66404000,0.0799,3.8963,109.7272,NA,NA,214860115.4,57765358.3,NA,NA,NA,4.0333,NA,NA,NA,NA,NA,4182928807,NA,NA,NA,NA,4262263968,NA,NA,NA,NA,NA,NA,20.263,19.5466,-145502857.7,NA,-116160051.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2690813713,2850257153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3791608234,NA,NA,NA,NA,3948611501,5.7536,NA,6.975,11.0083,NA,72.3,72.5398,NA,NA,97892753,1113877095,NA,1147127000,2566414000,NA,3.1479,2.9734,NA,NA,18237161.95,-98792351.25,2412872000,NA,858988000,-77668105.89,NA,NA,NA,NA,-235167514.3,NA,NA,NA,NA,NA,NA,NA,NA,1492115093,941351081.3,NA,NA,NA,NA,NA,NA,NA,455457100,1.3842,372082100,NA,NA,NA,80225000,NA,12561000,428487.4314,NA,NA,NA,5.7536,3.76448,3.35665,NA,NA,NA,1,0,NA,1,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
