rgdp,time,time2,lnrgdp
2501.800049,1,1,7.824765682
2560,2,4,7.847762585
2715.199951,3,9,7.906620979
2834,4,16,7.949444294
2998.600098,5,25,8.005900383
3191.100098,6,36,8.068120956
3399.100098,7,49,8.13126564
3484.600098,8,64,8.156108856
3652.699951,9,81,8.203222275
3765.399902,10,100,8.2336092
3771.899902,11,121,8.235334396
3898.600098,12,144,8.268372536
4105,13,169,8.319960594
4341.5,14,196,8.375975609
4319.600098,15,225,8.370918274
4311.200195,16,256,8.368971825
4540.899902,17,289,8.420880318
4750.5,18,324,8.466005325
5015,19,361,8.520188332
5173.399902,20,400,8.551285744
5161.700195,21,441,8.549021721
5291.700195,22,484,8.573894501
5189.299805,23,529,8.554353714
5423.799805,24,576,8.59855175
5813.600098,25,625,8.667955399
6053.700195,26,676,8.708424568
6263.600098,27,729,8.742510796
6475.100098,28,784,8.775719643
6742.700195,29,841,8.816215515
6981.399902,30,900,8.851004601
7112.5,31,961,8.869608879
7100.5,32,1024,8.867920876
7336.600098,33,1089,8.900630951
7532.700195,34,1156,8.927008629
7835.5,35,1225,8.966420174
8031.700195,36,1296,8.99115181
8328.900391,37,1369,9.027486801
8703.5,38,1444,9.071480751
9066.900391,39,1521,9.11238575
9470.299805,40,1600,9.155916214
9817,41,1681,9.191870689
9890.700195,42,1764,9.199350357
10048.7998,43,1849,9.215208054
10301,44,1936,9.239995956
10675.7998,45,2025,9.275734901
10989.5,46,2116,9.304695129
11294.7998,47,2209,9.332098007
11523.90039,48,2304,9.352178574
