year,un,hstart,m2,mgrate,primerate,rgdp
1973,4.900000095,2045.300049,855.5,7.960000038,8.029999733,4912.799805
1974,5.599999905,1337.699951,902.0999756,8.920000076,10.81000042,4885.700195
1975,8.5,1160.400024,1016.200012,9,7.860000134,4875.399902
1976,7.699999809,1537.5,1152,9,6.840000153,5136.899902
1977,7.099999905,1987.099976,1270.300049,9.020000458,6.829999924,5373.100098
1978,6.099999905,2020.300049,1366,9.56000042,9.06000042,5672.799805
1979,5.800000191,1745.099976,1473.699951,10.77999973,12.67000008,5850.100098
1980,7.099999905,1292.199951,1599.800049,12.65999985,15.26000023,5834
1981,7.599999905,1084.199951,1755.5,14.69999981,18.87000084,5982.100098
1982,9.699999809,1062.199951,1907.099976,15.14000034,14.85000038,5865.899902
1983,9.600000381,1703,2124.199951,12.56999969,10.78999996,6130.899902
1984,7.5,1749.5,2307.300049,12.38000011,12.03999996,6571.5
1985,7.199999809,1741.800049,2493,11.55000019,9.930000305,6843.399902
1986,7,1805.400024,2729.600098,10.17000008,8.329999924,7080.5
1987,6.199999809,1620.5,2829.399902,9.31000042,8.210000038,7307
1988,5.5,1488.099976,2991.100098,9.18999958,9.319999695,7607.399902
1989,5.300000191,1376.099976,3154.899902,10.13000011,10.86999989,7879.200195
1990,5.599999905,1192.699951,3272.899902,10.05000019,10.01000023,8027.100098
1991,6.800000191,1013.900024,3371.899902,9.319999695,8.460000038,8008.299805
1992,7.5,1199.699951,3423.399902,8.239999771,6.25,8280
1993,6.900000095,1287.599976,3472.800049,7.199999809,6,8516.200195
1994,6.099999905,1457,3485.699951,7.489999771,7.150000095,8863.099609
1995,5.599999905,1354.099976,3628.199951,7.869999886,8.829999924,9086
1996,5.400000095,1476.800049,3806.800049,7.800000191,8.270000458,9425.799805
1997,4.900000095,1474,4020.100098,7.710000038,8.43999958,9845.900391
1998,4.5,1616.900024,4360.100098,7.070000172,8.350000381,10274.7002
1999,4.199999809,1640.900024,4617.799805,7.039999962,8,10770.7002
2000,4,1568.699951,4898,7.519999981,9.229999542,11216.40039
2001,4.699999809,1602.699951,5400.700195,7,6.909999847,11337.5
2002,5.800000191,1704.900024,5739.399902,6.429999828,4.670000076,11543.09961
2003,6,1847.699951,6036.799805,5.800000191,4.119999886,11836.40039
2004,5.5,1955.800049,6388.5,5.769999981,4.340000153,12246.90039
2005,5.099999905,2068.300049,6654.600098,5.940000057,6.190000057,12623
2006,4.599999905,1800.900024,7038.399902,6.630000114,7.960000038,12958.5
2007,4.599999905,1355,7448.399902,6.409999847,8.050000191,13206.40039
2008,5.800000191,905.5,8183.200195,6.050000191,5.090000153,13161.90039
2009,9.300000191,554,8486.599609,5.139999866,3.25,12757.90039
2010,9.600000381,586.9000244,8781.799805,4.800000191,3.25,13063
2011,8.899999619,608.7999878,9637.099609,4.559999943,3.25,13299.09961
