country,gdp60vus,gdpgr,noneqinv,equipinv,lfgr6085,continent
Tanzania,-3.909975052,0.027318999,0.165600002,0.0149,0.027268,1
Ethiopia,-3.874197483,0.013414,0.048799999,0.006,0.020364,1
Lesotho,-3.655754089,0.056504998,,,0.017348001,1
Burma,-3.501835585,0.026965,,,0.020524001,2
Uganda,-3.493806124,0.007123,0.037099998,0.0048,0.030981001,1
Gambia,-3.458371162,0.032892998,,,0.017751001,1
Burundi,-3.446843386,0.009843,0.0436,0.0076,0.014292,1
Zaire,-3.431666851,0.006686,0.056899998,0.0091,0.017151,1
Malawi,-3.367288828,0.019326,0.114299998,0.017999999,0.022392999,1
Togo,-3.325820923,0.024236999,,,0.022868,1
Guinea,-3.304597139,0.006699,0.102899998,0.0067,0.016416,1
Rwanda,-3.242477179,0.016038001,0.067199998,0.0127,0.027559999,1
Niger,-3.183026314,0.007959,,,0.020655001,1
Botswa4,-3.126889229,0.075709,0.152999997,0.130899996,0.023657,1
Nepal,-3.030820608,0.015904,0.049699999,0.0098,0.015911,2
Mali,-2.88923049,0.00032,0.029899999,0.043299999,0.018227,1
India,-2.872594595,0.010578,0.154499993,0.0137,0.016845999,2
Kenya,-2.850610733,0.014547,0.146500006,0.028000001,0.033989001,1
Gabon,-2.840833187,0.069131002,,,0.006628,1
Cameroon,-2.794654369,0.044759002,0.125,0.004,0.016745999,1
Haiti,-2.657818317,0.004608,0.068300001,0.0027,0.012673,4
Benin,-2.644019604,0.010378,0.102399997,0.0058,0.017816,1
Bangladesh,-2.599913597,0.011502,0.055500001,0.0127,0.019407,1
Sierra_Leone,-2.574564457,0.01527,0.101499997,0.0079,0.009235,1
Ivory_coast,-2.568205595,0.026435001,0.100199997,0.0243,0.027075,1
Egypt,-2.554012299,0.052715998,,,0.021466,1
Thailand,-2.545191765,0.037005998,0.157800004,0.023,0.027369,2
Madagascar,-2.521176577,-0.010255,0.061099999,0.01,0.020098001,1
