Index,pop
1960,38174112
1961,39394126
1962,40649588
1963,41939880
1964,43264272
1965,44623043
1966,46011038
1967,47429812
1968,48894019
1969,50423481
1970,52029861
1971,53718724
1972,55478151
1973,57280587
1974,59088193
1975,60872399
1976,62623763
1977,64345884
1978,66039488
1979,67709689
1980,69360871
1981,70992195
1982,72602533
1983,74196548
1984,75780605
1985,77360707
1986,78934125
1987,80503052
1988,82083919
1989,83697891
1990,85357874
1991,87071512
1992,88828310
1993,90600453
1994,92349147
1995,94045579
1996,95687452
1997,97281739
1998,98821456
1999,100300579
2000,101719673
2001,103067068
2002,104355608
2003,105640453
2004,106995583
2005,108472228
2006,110092378
2007,111836346
2008,113661809
2009,115505228
2010,117318941
2011,119090017
2012,120828307
2013,122535969
2014,124221600
2015,125890949
2016,127540423
2017,129163276
