Date,usdjpy,reer
1980/01,238.8,78.75
1980/02,249.8,76.54
1980/03,249.7,76.16
1980/04,238.3,76.69
1980/05,224.4,82.31
1980/06,218.15,85.08
1980/07,226.85,83.19
1980/08,219.2,81.74
1980/09,212,85.72
1980/10,211.75,87.98
1980/11,216.75,87.2
1980/12,203.6,88.36
1981/01,205.2,91.5
1981/02,208.85,91.01
1981/03,211.4,89.28
1981/04,215,87.56
1981/05,223.5,87.06
1981/06,225.75,86.35
1981/07,239.75,83.22
1981/08,228.75,82.77
1981/09,231.55,83.61
1981/10,233.35,81.91
1981/11,214.15,83.87
1981/12,220.25,85.71
1982/01,228.45,83.48
1982/02,235.2,80.53
1982/03,248.3,79.32
1982/04,236.3,79.15
1982/05,243.7,80.31
1982/06,255.55,76.66
1982/07,256.65,75.35
1982/08,259.6,74.89
1982/09,269.4,74.99
1982/10,277.4,73.12
1982/11,253.45,74.67
1982/12,235.3,80.25
1983/01,238.4,82.99
1983/02,235.55,81.79
1983/03,239.3,82.03
1983/04,237.7,82.22
1983/05,238.6,83.73
1983/06,239.8,82.23
1983/07,241.5,81.81
1983/08,246.75,81.04
1983/09,236.1,82.26
1983/10,233.65,85.4
1983/11,234.2,84.65
1983/12,232,85.4
1984/01,234.74,86.1
1984/02,233.28,85.16
1984/03,224.75,87.16
1984/04,226.3,87.67
1984/05,231.63,87.01
1984/06,237.45,85.29
1984/07,245.45,83.38
1984/08,241.7,82.79
1984/09,245.4,84.08
1984/10,245.3,84.48
1984/11,246.5,84.51
1984/12,251.58,84.17
1985/01,254.78,82.98
1985/02,259,81.59
1985/03,250.7,82.47
1985/04,251.4,82.7
1985/05,251.78,82.78
1985/06,248.95,83.01
1985/07,236.65,83.92
1985/08,237.1,84.46
1985/09,216,85.04
1985/10,211.8,92.06
1985/11,202.05,95.47
1985/12,200.6,95.36
1986/01,192.65,95.96
1986/02,180.45,102.6
1986/03,179.65,105.11
1986/04,168.1,107.35
1986/05,172.05,111.96
1986/06,163.95,110.74
1986/07,154.15,115.96
1986/08,156.05,117.77
1986/09,153.63,116.9
1986/10,161.45,115.45
1986/11,162.2,110.48
1986/12,160.1,109.77
1987/01,152.3,111.58
1987/02,153.15,111.27
1987/03,145.65,112.29
1987/04,139.65,118.33
1987/05,144.15,119.16
1987/06,146.75,115.52
1987/07,149.25,110.76
1987/08,142.35,112.41
1987/09,146.35,115.2
1987/10,138.55,114.56
1987/11,132.45,117.81
1987/12,122,122.13
1988/01,127.18,122.43
1988/02,128.12,120.89
1988/03,124.5,121.63
1988/04,124.82,123.21
1988/05,124.8,123.37
1988/06,132.2,121.53
1988/07,132.53,117.56
1988/08,134.97,117.71
1988/09,134.3,117.38
1988/10,125,121.19
1988/11,121.85,123.69
1988/12,125.9,122.3
1989/01,129.13,119.4
1989/02,127.15,118.44
1989/03,132.55,116.56
1989/04,132.49,116.24
1989/05,142.7,112.45
1989/06,143.95,108.58
1989/07,138.4,109.16
1989/08,144.28,108.67
1989/09,139.35,106.67
1989/10,142.15,108.02
1989/11,142.9,105.27
1989/12,143.4,103.73
1990/01,144.4,101.27
1990/02,148.52,100.2
1990/03,157.65,95.95
1990/04,159.08,92.71
1990/05,151.75,95.23
1990/06,152.85,94.55
1990/07,147.5,95.86
1990/08,144.5,94.96
1990/09,137.95,100.83
1990/10,129.35,107.33
1990/11,132.75,107.05
1990/12,135.4,103.6
1991/01,131.4,103.74
1991/02,131.95,104.76
1991/03,140.55,102.9
1991/04,137.42,104.98
1991/05,137.97,104.57
1991/06,138.15,104.15
1991/07,137.83,105.21
1991/08,136.88,104.95
1991/09,132.95,105.47
1991/10,131,109.43
1991/11,130.07,108.65
1991/12,125.25,108.13
1992/01,125.78,110.34
1992/02,129.33,108.64
1992/03,133.05,105.54
1992/04,133.38,105.39
1992/05,128.33,106.6
1992/06,125.55,108.33
1992/07,127.3,106.64
1992/08,123.42,105.7
1992/09,119.25,109.37
1992/10,123.35,112.8
1992/11,124.75,113.1
1992/12,124.65,113.13
1993/01,124.3,112.34
1993/02,117.85,117.07
1993/03,115.35,120.77
1993/04,111.1,124.66
1993/05,107.45,126.76
1993/06,106.51,131.28
1993/07,105.6,133.05
1993/08,104.18,138.3
1993/09,105.1,134.54
1993/10,108.23,132.41
1993/11,108.82,131.72
1993/12,111.89,128.99
1994/01,109.55,127.26
1994/02,104.3,132.77
1994/03,102.8,133.84
1994/04,102.38,135.85
1994/05,104.38,134.23
1994/06,98.95,134.01
1994/07,99.93,137.32
1994/08,99.57,134.64
1994/09,98.59,135
1994/10,97.37,135.11
1994/11,98.98,135.35
1994/12,99.83,132.58
1995/01,98.58,131.8
1995/02,96.93,132.44
1995/03,88.38,141.47
1995/04,83.77,150.75
1995/05,83.19,148.67
1995/06,84.77,148.63
1995/07,88.17,143.06
1995/08,97.46,132.91
1995/09,98.18,125.8
1995/10,101.9,123.97
1995/11,101.66,122.39
1995/12,102.91,122.88
1996/01,106.92,117.94
1996/02,104.58,117.06
1996/03,106.49,116.63
1996/04,104.29,115.39
1996/05,108.37,116.73
1996/06,109.88,113.72
1996/07,107.13,113.05
1996/08,108.4,113.58
1996/09,111.45,111.74
1996/10,113.27,109.57
1996/11,113.44,108.72
1996/12,115.98,107.77
1997/01,122.13,104.36
1997/02,120.88,100.52
1997/03,123.97,101.39
1997/04,126.92,100.95
1997/05,116.43,106.89
1997/06,114.3,110.93
1997/07,117.74,111.27
1997/08,119.39,110.34
1997/09,121.44,108.56
1997/10,120.29,109.49
1997/11,127.66,106.01
1997/12,129.92,107.02
1998/01,127.34,111.06
1998/02,126.72,111.69
1998/03,133.39,107.92
1998/04,131.95,104.2
1998/05,138.72,102.77
1998/06,139.95,100.12
1998/07,143.79,99.06
1998/08,141.52,96.18
1998/09,135.72,102.74
1998/10,116.09,112.82
1998/11,123.83,112.76
1998/12,115.2,114.87
1999/01,115.98,118.47
1999/02,120.32,115.29
1999/03,119.99,113.77
1999/04,119.59,113.79
1999/05,121.37,111.41
1999/06,120.87,112.68
1999/07,115.27,113.44
1999/08,110.19,119.44
1999/09,105.66,126.74
1999/10,104.89,127.22
1999/11,102.42,128.65
1999/12,102.08,131.05
2000/01,106.9,126.75
2000/02,110.27,121.64
2000/03,105.29,125.83
2000/04,106.44,127.54
2000/05,107.3,126.4
2000/06,105.4,127.37
2000/07,109.52,125.27
2000/08,106.43,126.03
2000/09,107.75,128.05
2000/10,108.81,127.21
2000/11,111.07,126.66
2000/12,114.9,122.19
2001/01,116.38,116.08
2001/02,116.44,116.39
2001/03,125.27,112.08
2001/04,124.06,110.82
2001/05,119.06,112.68
2001/06,124.27,112.76
2001/07,124.79,110.55
2001/08,118.92,112.01
2001/09,119.29,113.86
2001/10,121.84,112.08
2001/11,123.98,111.01
2001/12,131.47,106.77
2002/01,132.94,102.19
2002/02,133.89,100.78
2002/03,132.71,102.63
2002/04,127.97,102.3
2002/05,123.96,104.82
2002/06,119.22,106.07
2002/07,119.82,109.21
2002/08,117.97,109.29
2002/09,121.79,107.57
2002/10,122.48,104.87
2002/11,122.44,105.93
2002/12,119.37,104.83
2003/01,119.21,105.51
2003/02,117.75,104
2003/03,119.02,104.89
2003/04,119.46,103.66
2003/05,118.63,104.24
2003/06,119.82,102.85
2003/07,120.11,102.99
2003/08,117.13,103.38
2003/09,110.48,105.94
2003/10,108.99,109.57
2003/11,109.34,109.16
2003/12,106.97,109.23
2004/01,105.88,108.91
2004/02,109.08,108.18
2004/03,103.95,106.84
2004/04,110.44,107.54
2004/05,109.56,104
2004/06,108.69,106.28
2004/07,111.67,105.55
2004/08,109.86,104.65
2004/09,110.92,104.77
2004/10,105.87,105.4
2004/11,103.17,107.4
2004/12,103.78,106.5
2005/01,103.58,106.8
2005/02,104.58,103.98
2005/03,106.97,103.28
2005/04,105.87,101.72
2005/05,108.17,102.73
2005/06,110.37,101.64
2005/07,112.18,98.79
2005/08,111.42,98.69
2005/09,113.28,98.21
2005/10,115.67,95.3
2005/11,119.46,92.7
2005/12,117.48,92.13
2006/01,117.18,92.94
2006/02,116.35,90.51
2006/03,117.47,91.03
2006/04,114.32,90.1
2006/05,111.85,93.23
2006/06,114.66,91.66
2006/07,114.47,90.3
2006/08,117.23,90.17
2006/09,118.05,89.28
2006/10,117.74,88.08
2006/11,116.12,87.64
2006/12,118.92,86.48
2007/01,121.34,84.22
2007/02,118.59,83.02
2007/03,118.05,85.17
2007/04,119.41,83.09
2007/05,121.63,81.38
2007/06,123.48,79.79
2007/07,118.99,79.32
2007/08,116.24,83.31
2007/09,115.27,83.6
2007/10,114.78,81.64
2007/11,110.29,83.78
2007/12,113.12,82.94
2008/01,106.63,85.08
2008/02,104.34,83.92
2008/03,99.37,88.02
2008/04,104.05,85.49
2008/05,105.46,84.87
2008/06,105.33,82.61
2008/07,108.13,81.92
2008/08,108.8,81.96
2008/09,104.76,85.83
2008/10,97.01,95.51
2008/11,95.31,100.9
2008/12,90.28,106.47
2009/01,89.51,106.77
2009/02,97.87,105.62
2009/03,98.31,100.08
2009/04,97.67,97.34
2009/05,96.45,97.1
2009/06,95.56,95.97
2009/07,95.61,97.72
2009/08,92.78,96.59
2009/09,89.76,99.24
2009/10,91.11,98.76
2009/11,86.15,99.34
2009/12,92.13,98.58
2010/01,90.19,96.79
2010/02,89.34,98.49
2010/03,93.27,97.81
2010/04,94.18,94.25
2010/05,91.49,97.51
2010/06,88.66,99.69
2010/07,86.37,101.4
2010/08,84.24,103.08
2010/09,83.32,103.15
2010/10,80.68,103.89
2010/11,84.03,102.45
2010/12,81.51,101.48
2011/01,82.04,100.85
2011/02,81.68,99.53
2011/03,82.84,99.95
2011/04,81.6,96.3
2011/05,81.6,98.57
2011/06,80.42,99.07
2011/07,77.59,99.84
2011/08,76.58,102.77
2011/09,76.7,104.73
2011/10,78.81,105.66
2011/11,78.01,103.99
2011/12,77.57,104.08
2012/01,76.3,104.83
2012/02,80.49,101.45
2012/03,82.17,96.78
2012/04,80.74,98.24
2012/05,78.81,101.15
2012/06,79.61,102.56
2012/07,78.28,102.53
2012/08,78.46,102
2012/09,77.58,101.32
2012/10,79.73,99.61
2012/11,82.63,96.77
2012/12,86.32,92.99
2013/01,90.92,86.75
2013/02,92.36,82.49
2013/03,94.04,81.75
2013/04,97.83,79.18
2013/05,100.63,76.89
2013/06,98.83,80.15
2013/07,97.85,78.65
2013/08,98.06,80.09
2013/09,97.89,78.66
2013/10,98.34,79.09
2013/11,102.24,77.76
2013/12,105.37,75.08
2014/01,102.49,74.72
2014/02,101.66,75.94
2014/03,102.98,75.86
2014/04,102.51,77.15
2014/05,101.64,77.79
2014/06,101.39,77.59
2014/07,102.87,77.63
2014/08,103.83,77.07
2014/09,109.42,74.57
2014/10,111.23,74.52
2014/11,118.22,69.7
2014/12,119.8,68.91
2015/01,117.9,70.55
2015/02,119.29,70.31
2015/03,120.21,70.24
2015/04,118.91,70.43
2015/05,123.75,69.35
2015/06,122.25,67.84
2015/07,124.22,68.58
2015/08,121.19,69.91
2015/09,120.03,72.13
2015/10,120.74,71.68
2015/11,122.83,70.7
2015/12,120.42,71.61
2016/01,120.63,74.49
2016/02,112.99,75.76
2016/03,112.43,76.14
2016/04,108.4,77.58
2016/05,111.14,78.83
2016/06,102.7,81.4
