obs,output,labor,capital,lnoutput,lnlabor,lncapital,lnoutlab,lncaplab,outputstar,capitalstar,laborstar
1,38372840,424471,2689076,17.46286011,12.95859909,14.80470848,4.504261494,1.846109271,-0.107987359,0.063688874,0.134389058
2,1805427,19895,57997,14.40630722,9.898223877,10.96814632,4.50808382,1.069922805,-0.92306602,-0.905514002,-0.941053271
3,23736129,206893,2308272,16.98250961,12.23995686,14.65200996,4.742551804,2.412052631,-0.43423605,-0.076586783,-0.443975925
4,26981983,304055,1376235,17.11067963,12.62496376,14.13486195,4.485715866,1.509898186,-0.36188677,-0.419918537,-0.185700268
5,217546032,1809756,13554116,19.19792175,14.40870285,16.42220116,4.789218426,2.013498306,3.885739088,4.066011906,3.816748142
6,19462751,180366,1790751,16.78401375,12.10274315,14.39814568,4.681269646,2.295402288,-0.529488623,-0.267224491,-0.514489889
7,28972772,224267,1210229,17.1818676,12.32059288,14.00632,4.861274242,1.685727596,-0.317512572,-0.481069684,-0.397792429
8,14313157,54455,421064,16.47669029,10.90513039,12.95054054,5.571559906,2.045410156,-0.644271791,-0.771772087,-0.849186003
9,159921,2029,7188,11.98243523,7.615298271,8.880167961,4.367136955,1.264869928,-0.959743977,-0.924230397,-0.988544583
10,47289846,471211,2761281,17.67180634,13.06306171,14.83120537,4.608745098,1.768144011,0.09077052,0.090286821,0.258633137
11,63015125,659379,3540475,17.95888519,13.39905357,15.07977104,4.559831619,1.680717707,0.441283137,0.377316236,0.758820593
12,1809052,17528,146371,14.40831375,9.771554947,11.89389992,4.636758804,2.122344971,-0.922985196,-0.872959971,-0.947345197
13,10511786,75414,848220,16.1680069,11.23074818,13.65089512,4.937259674,2.420147181,-0.729003429,-0.614421904,-0.793472886
14,105324866,963156,5870409,18.47256088,13.77797031,15.58543491,4.694589615,1.807464242,1.384356856,1.235587239,1.566319346
15,90120459,835083,5832503,18.31665802,13.63528633,15.5789566,4.681371212,1.943670392,1.045454383,1.221623898,1.225876212
16,39079550,336159,1795976,17.48110962,12.72533989,14.40105915,4.755770206,1.675719619,-0.092234962,-0.265299767,-0.100361548
17,22826760,246144,1595118,16.9434433,12.41367245,14.28245831,4.529772282,1.868786216,-0.454505682,-0.339289248,-0.339639068
18,38686340,384484,2503693,17.47099686,12.85965729,14.73327732,4.611339569,1.873619914,-0.100999519,-0.004600117,0.028095776
19,69910555,216149,4726625,18.06272697,12.28372288,15.36872196,5.779004097,3.084998608,0.594980597,0.81425488,-0.419371665
20,7856947,82021,415131,15.8769083,11.31473064,12.93634987,4.562178135,1.621618867,-0.7881791,-0.77395761,-0.775910139
21,21352966,174855,1729116,16.87670135,12.07171249,14.36312103,4.804988861,2.291408539,-0.487356186,-0.289928794,-0.529139221
22,46044292,355701,2706065,17.6451149,12.78184605,14.81100655,4.863268375,2.029160261,0.063007429,0.069947064,-0.04841508
23,92335528,943298,5294356,18.34094048,13.7571373,15.48215199,4.583802223,1.725014329,1.094827771,1.023388267,1.513532877
24,48304274,456553,2833525,17.69303131,13.03145981,14.85703182,4.661570549,1.825572014,0.11338187,0.116899133,0.219669312
25,17207903,267806,1212281,16.66087914,12.49801826,14.00801468,4.162861347,1.509996176,-0.579748631,-0.480313778,-0.282057226
26,47340157,439427,2404122,17.67286873,12.99322701,14.69269562,4.679642677,1.699468493,0.091891937,-0.041278798,0.174145043
27,2644567,24167,334008,14.78801823,10.09274292,12.71891975,4.695274353,2.626176834,-0.904361784,-0.803840637,-0.929697454
28,14650080,163637,627806,16.49995613,12.00540543,13.34998608,4.494550705,1.34458065,-0.636761844,-0.695615172,-0.558958828
29,7290360,59737,522335,15.80206394,10.99770641,13.16606426,4.804356575,2.168357611,-0.800808191,-0.734467208,-0.835145414
30,9188322,96106,507488,16.03344345,11.47320747,13.13722801,4.560236931,1.664021373,-0.758503079,-0.739936352,-0.738469481
