fdho,expend,sfdho,lnexpend,expend_rec,expend2
6475,40516.75,0.159810454,10.60947037,2.46812E-05,1641607040
3146,33540.5,0.09379705,10.42050934,2.98147E-05,1124965120
1632,5181.850098,0.31494543,8.55291748,0.000192981,26851570
2405,40385,0.059551813,10.60621357,2.47617E-05,1630948224
2227,40302.25,0.055257462,10.60416222,2.48125E-05,1624271360
2470,23188.75,0.106517166,10.05142212,4.31244E-05,537718144
3510,13503.4502,0.259933561,9.510700226,7.40551E-05,182343168
1662,5109.799805,0.325257361,8.538915634,0.000195702,26110054
2405,15753.5,0.152664483,9.66481781,6.3478E-05,248172768
2483,40762.75,0.060913455,10.61552429,2.45322E-05,1661601792
1770,23060.5,0.076754622,10.0458765,4.33642E-05,531786656
4160,30839.25,0.13489303,10.33654308,3.24262E-05,951059328
3390,25206.15039,0.134490982,10.13484287,3.96729E-05,635350016
1430,15891.25,0.08998663,9.673523903,6.29277E-05,252531824
2496,38821.25,0.064294681,10.56672287,2.57591E-05,1507089408
2145,11765.75,0.182308823,9.372947693,8.49925E-05,138432880
572,4933.700195,0.115937322,8.503844261,0.000202688,24341398
3653,13753.90039,0.265597373,9.52907753,7.27067E-05,189169776
1194,14141.5,0.084432341,9.556868553,7.07139E-05,199982016
3692,27812.5,0.132746071,10.23324108,3.59551E-05,773535168
1638,21005,0.077981435,9.952515602,4.76077E-05,441210016
1677,11510.7002,0.145690531,9.351032257,8.68757E-05,132496216
4469,41749.5,0.107043199,10.63944244,2.39524E-05,1743020800
5265,32854.5,0.16025202,10.39984417,3.04372E-05,1079418112
4012,62043,0.064664826,11.03558254,1.61179E-05,3849333760
1404,19415.40039,0.072313726,9.873822212,5.15055E-05,376957760
4550,51814.5,0.087813258,10.85542488,1.92996E-05,2684742400
4452,26960.5,0.165130466,10.20212841,3.70913E-05,726868544
1339,19185,0.069794111,9.861884117,5.21241E-05,368064224
1807,19704,0.091707267,9.888576508,5.07511E-05,388247616
3302,21830.75,0.151254535,9.991074562,4.58069E-05,476581632
2744,40768.30078,0.067307197,10.61565971,2.45289E-05,1662054400
4330,49078.75,0.088225558,10.80118179,2.03754E-05,2408723712
3018,12765.65039,0.236415684,9.45451355,7.83352E-05,162961824
3250,13029.5,0.249433979,9.474971771,7.67489E-05,169767872
1476,8841.200195,0.166945666,9.08717823,0.000113107,78166824
982,17942.5,0.054730389,9.794927597,5.57336E-05,321933312
