Date,spx
1871.01,4.44
1871.02,4.5
1871.03,4.61
1871.04,4.74
1871.05,4.86
1871.06,4.82
1871.07,4.73
1871.08,4.79
1871.09,4.84
1871.1,4.59
1871.11,4.64
1871.12,4.74
1872.01,4.86
1872.02,4.88
1872.03,5.04
1872.04,5.18
1872.05,5.18
1872.06,5.13
1872.07,5.1
1872.08,5.04
1872.09,4.95
1872.1,4.97
1872.11,4.95
1872.12,5.07
1873.01,5.11
1873.02,5.15
1873.03,5.11
1873.04,5.04
1873.05,5.05
1873.06,4.98
1873.07,4.97
1873.08,4.97
1873.09,4.59
1873.1,4.19
1873.11,4.04
1873.12,4.42
1874.01,4.66
1874.02,4.8
1874.03,4.73
1874.04,4.6
1874.05,4.48
1874.06,4.46
1874.07,4.46
1874.08,4.47
1874.09,4.54
1874.1,4.53
1874.11,4.57
1874.12,4.54
1875.01,4.54
1875.02,4.53
1875.03,4.59
1875.04,4.65
1875.05,4.47
1875.06,4.38
1875.07,4.39
1875.08,4.41
1875.09,4.37
1875.1,4.3
1875.11,4.37
1875.12,4.37
1876.01,4.46
1876.02,4.52
1876.03,4.51
1876.04,4.34
1876.05,4.18
1876.06,4.15
1876.07,4.1
1876.08,3.93
1876.09,3.69
1876.1,3.67
1876.11,3.6
1876.12,3.58
1877.01,3.55
1877.02,3.34
1877.03,3.17
1877.04,2.94
1877.05,2.94
1877.06,2.73
1877.07,2.85
1877.08,3.05
1877.09,3.24
1877.1,3.31
1877.11,3.26
1877.12,3.25
1878.01,3.25
1878.02,3.18
1878.03,3.24
1878.04,3.33
1878.05,3.34
1878.06,3.41
1878.07,3.48
1878.08,3.45
1878.09,3.52
1878.1,3.48
1878.11,3.47
1878.12,3.45
1879.01,3.58
1879.02,3.71
1879.03,3.65
1879.04,3.77
1879.05,3.94
1879.06,3.96
1879.07,4.04
1879.08,4.07
1879.09,4.22
1879.1,4.68
1879.11,4.93
1879.12,4.92
1880.01,5.11
1880.02,5.2
1880.03,5.3
1880.04,5.18
1880.05,4.77
1880.06,4.79
1880.07,5.01
1880.08,5.19
1880.09,5.18
1880.1,5.33
1880.11,5.61
1880.12,5.84
1881.01,6.19
1881.02,6.17
1881.03,6.24
1881.04,6.22
1881.05,6.5
1881.06,6.58
1881.07,6.35
1881.08,6.2
1881.09,6.25
1881.1,6.15
1881.11,6.19
1881.12,6.01
1882.01,5.92
1882.02,5.79
1882.03,5.78
1882.04,5.78
1882.05,5.71
1882.06,5.68
1882.07,6
1882.08,6.18
1882.09,6.24
1882.1,6.07
1882.11,5.81
1882.12,5.84
1883.01,5.81
1883.02,5.68
1883.03,5.75
1883.04,5.87
1883.05,5.77
1883.06,5.82
1883.07,5.73
1883.08,5.47
1883.09,5.53
1883.1,5.38
1883.11,5.46
1883.12,5.34
1884.01,5.18
1884.02,5.32
1884.03,5.3
1884.04,5.06
1884.05,4.65
1884.06,4.46
1884.07,4.46
1884.08,4.74
1884.09,4.59
1884.1,4.44
1884.11,4.35
1884.12,4.34
1885.01,4.24
1885.02,4.37
1885.03,4.38
1885.04,4.37
1885.05,4.32
1885.06,4.3
1885.07,4.46
1885.08,4.71
1885.09,4.65
1885.1,4.92
1885.11,5.24
1885.12,5.2
1886.01,5.2
1886.02,5.3
1886.03,5.19
1886.04,5.12
1886.05,5.02
1886.06,5.25
1886.07,5.33
1886.08,5.37
1886.09,5.51
1886.1,5.65
1886.11,5.79
1886.12,5.64
1887.01,5.58
1887.02,5.54
1887.03,5.67
1887.04,5.8
1887.05,5.9
1887.06,5.73
1887.07,5.59
1887.08,5.45
1887.09,5.38
1887.1,5.2
1887.11,5.3
1887.12,5.27
1888.01,5.31
1888.02,5.28
1888.03,5.08
1888.04,5.1
1888.05,5.17
1888.06,5.01
1888.07,5.14
1888.08,5.25
1888.09,5.38
1888.1,5.35
1888.11,5.24
1888.12,5.14
1889.01,5.24
1889.02,5.3
1889.03,5.19
1889.04,5.18
1889.05,5.32
1889.06,5.41
1889.07,5.3
1889.08,5.37
1889.09,5.5
1889.1,5.4
1889.11,5.35
1889.12,5.32
1890.01,5.38
1890.02,5.32
1890.03,5.28
1890.04,5.39
1890.05,5.62
1890.06,5.58
1890.07,5.54
1890.08,5.41
1890.09,5.32
1890.1,5.08
1890.11,4.71
1890.12,4.6
1891.01,4.84
1891.02,4.9
1891.03,4.81
1891.04,4.97
1891.05,4.95
1891.06,4.85
1891.07,4.77
1891.08,4.93
1891.09,5.33
1891.1,5.33
1891.11,5.25
1891.12,5.41
1892.01,5.51
1892.02,5.52
1892.03,5.58
1892.04,5.57
1892.05,5.57
1892.06,5.54
1892.07,5.54
1892.08,5.62
1892.09,5.48
1892.1,5.59
1892.11,5.57
1892.12,5.51
1893.01,5.61
1893.02,5.51
1893.03,5.31
1893.04,5.31
1893.05,4.84
1893.06,4.61
1893.07,4.18
1893.08,4.08
1893.09,4.37
1893.1,4.5
1893.11,4.57
1893.12,4.41
1894.01,4.32
1894.02,4.38
1894.03,4.51
1894.04,4.57
1894.05,4.4
1894.06,4.34
1894.07,4.25
1894.08,4.41
1894.09,4.48
1894.1,4.34
1894.11,4.34
1894.12,4.3
1895.01,4.25
1895.02,4.19
1895.03,4.19
1895.04,4.37
1895.05,4.61
1895.06,4.7
1895.07,4.72
1895.08,4.79
1895.09,4.82
1895.1,4.75
1895.11,4.59
1895.12,4.32
1896.01,4.27
1896.02,4.45
1896.03,4.38
1896.04,4.42
1896.05,4.4
1896.06,4.32
1896.07,4.04
1896.08,3.81
1896.09,4.01
1896.1,4.1
1896.11,4.38
1896.12,4.22
1897.01,4.22
1897.02,4.18
1897.03,4.19
1897.04,4.06
1897.05,4.08
1897.06,4.27
1897.07,4.46
1897.08,4.75
1897.09,4.98
1897.1,4.82
1897.11,4.65
1897.12,4.75
1898.01,4.88
1898.02,4.87
1898.03,4.65
1898.04,4.57
1898.05,4.87
1898.06,5.06
1898.07,5.08
1898.08,5.27
1898.09,5.26
1898.1,5.15
1898.11,5.32
1898.12,5.65
1899.01,6.08
1899.02,6.31
1899.03,6.4
1899.04,6.48
1899.05,6.21
1899.06,6.07
1899.07,6.28
1899.08,6.44
1899.09,6.37
1899.1,6.34
1899.11,6.46
1899.12,6.02
1900.01,6.1
1900.02,6.21
1900.03,6.26
1900.04,6.34
1900.05,6.04
1900.06,5.86
1900.07,5.86
1900.08,5.94
1900.09,5.8
1900.1,6.01
1900.11,6.48
1900.12,6.87
1901.01,7.07
1901.02,7.25
1901.03,7.51
1901.04,8.14
1901.05,7.73
1901.06,8.5
1901.07,7.93
1901.08,8.04
1901.09,8
1901.1,7.91
1901.11,8.08
1901.12,7.95
1902.01,8.12
1902.02,8.19
1902.03,8.2
1902.04,8.48
1902.05,8.46
1902.06,8.41
1902.07,8.6
1902.08,8.83
1902.09,8.85
1902.1,8.57
1902.11,8.24
1902.12,8.05
1903.01,8.46
1903.02,8.41
1903.03,8.08
1903.04,7.75
1903.05,7.6
1903.06,7.18
1903.07,6.85
1903.08,6.63
1903.09,6.47
1903.1,6.26
1903.11,6.28
1903.12,6.57
1904.01,6.68
1904.02,6.5
1904.03,6.48
1904.04,6.64
1904.05,6.5
1904.06,6.51
1904.07,6.78
1904.08,7.01
1904.09,7.32
1904.1,7.75
1904.11,8.17
1904.12,8.25
1905.01,8.43
1905.02,8.8
1905.03,9.05
1905.04,8.94
1905.05,8.5
1905.06,8.6
1905.07,8.87
1905.08,9.2
1905.09,9.23
1905.1,9.36
1905.11,9.31
1905.12,9.54
1906.01,9.87
1906.02,9.8
1906.03,9.56
1906.04,9.43
1906.05,9.18
1906.06,9.3
1906.07,9.06
1906.08,9.73
1906.09,10.03
1906.1,9.73
1906.11,9.93
1906.12,9.84
1907.01,9.56
1907.02,9.26
1907.03,8.35
1907.04,8.39
1907.05,8.1
1907.06,7.84
1907.07,8.14
1907.08,7.53
1907.09,7.45
1907.1,6.64
1907.11,6.25
1907.12,6.57
1908.01,6.85
1908.02,6.6
1908.03,6.87
1908.04,7.24
1908.05,7.63
1908.06,7.64
1908.07,7.92
1908.08,8.26
1908.09,8.17
1908.1,8.27
1908.11,8.83
1908.12,9.03
1909.01,9.06
