date,spx,nky,ukx,as51
1985-01-02,165.369995,11543,1220,729
1985-01-03,164.570007,11543,1206.099976,726.5
1985-01-04,163.679993,11558,1214.599976,721.400024
1985-01-07,164.240005,11575,1229,715.200012
1985-01-08,163.990005,11680,1243.5,718.299988
1985-01-09,165.179993,11764,1259.199951,715.599976
1985-01-10,168.309998,11824,1261,723.099976
1985-01-11,167.910004,11812,1248.599976,730.700012
1985-01-14,170.509995,11824,1220.5,734
1985-01-15,170.809998,11824,1233.199951,734.799988
1985-01-16,171.190002,11933,1254.099976,734.299988
1985-01-17,170.729996,11887,1260.400024,739.5
1985-01-18,171.320007,11910,1277.900024,746
1985-01-21,175.229996,11976,1279,750.599976
1985-01-22,175.479996,11868,1305.699951,756.099976
1985-01-23,177.300003,11859,1283.699951,757.900024
1985-01-24,176.710007,11856,1274.699951,753.299988
1985-01-25,177.350006,11737,1288,755.5
1985-01-28,177.399994,11799,1265.800049,755.5
1985-01-29,179.179993,11843,1249.300049,758.099976
1985-01-30,179.389999,11961,1277.300049,763.400024
1985-01-31,179.630005,11993,1280.800049,773.400024
1985-02-01,178.630005,11947,1272.599976,772.400024
1985-02-04,180.350006,11891,1268.199951,767.700012
1985-02-05,180.610001,11823,1289.099976,772.099976
1985-02-06,180.429993,11867,1289.5,777.5
1985-02-07,181.820007,11941,1296.300049,777.700012
1985-02-08,182.190002,12009,1295.300049,772.599976
1985-02-11,180.509995,12009,1297.5,765.200012
1985-02-12,180.559998,12028,1273,767.700012
1985-02-13,183.350006,12026,1282,773.900024
1985-02-14,182.410004,12082,1289.800049,785.400024
1985-02-15,181.600006,12148,1281.5,786.299988
1985-02-19,181.330002,12157,1275.900024,795.299988
1985-02-20,181.179993,12152,1275.800049,798.900024
1985-02-21,180.190002,12128,1279.099976,795.599976
1985-02-22,179.360001,12147,1268.900024,785.799988
1985-02-25,179.229996,12201,1259.400024,787.299988
1985-02-26,181.169998,12194.96973,1259.5,778.5
1985-02-27,180.710007,12287,1258.800049,786.799988
1985-02-28,181.179993,12322,1259.699951,792.299988
1985-03-01,183.229996,12412,1250.800049,790.299988
1985-03-04,182.059998,12509,1265.699951,796.099976
1985-03-05,182.229996,12476,1274.900024,796.400024
1985-03-06,180.649994,12499,1285.400024,795.299988
1985-03-07,179.509995,12415,1285.800049,797.700012
1985-03-08,179.100006,12348,1288.599976,788.099976
1985-03-11,178.789993,12264,1290.800049,783.900024
1985-03-12,179.660004,12297,1300,784.099976
1985-03-13,178.190002,12419,1295.199951,787.400024
1985-03-14,177.839996,12405,1299.699951,789
1985-03-15,176.529999,12469,1309.900024,794.400024
1985-03-18,176.880005,12507,1300.300049,790.299988
1985-03-19,179.539993,12478,1304.5,793.799988
1985-03-20,179.080002,12541,1307.199951,802.599976
1985-03-21,179.350006,12541,1300.699951,802.299988
1985-03-22,179.039993,12543,1302.900024,810.799988
1985-03-25,177.970001,12493,1297.800049,821.200012
1985-03-26,178.429993,12486,1290.400024,817.900024
1985-03-27,179.539993,12551,1288,826.5
1985-03-28,179.539993,12604,1287.099976,825.900024
1985-03-29,180.660004,12590,1277,829.700012
1985-04-01,181.270004,12677,1278.300049,828.5
1985-04-02,180.529999,12630,1286.800049,828.900024
1985-04-03,179.110001,12683,1274.800049,837.599976
1985-04-04,179.029999,12627,1278.5,842
1985-04-08,178.029999,12636,1278.5,842
1985-04-09,178.210007,12630,1270.199951,842
1985-04-10,179.419998,12602,1273.099976,853.200012
1985-04-11,180.190002,12574,1269.300049,863.200012
1985-04-12,180.539993,12588,1275.800049,864
1985-04-15,180.919998,12553,1288.5,857.799988
1985-04-16,181.199997,12207,1290.800049,859
1985-04-17,181.679993,12302,1304,853.400024
1985-04-18,180.839996,12053,1305.5,856.299988
1985-04-19,181.110001,12232,1299.699951,848.700012
1985-04-22,180.699997,12180,1294.900024,848.599976
1985-04-23,181.880005,12124,1284.900024,859.900024
1985-04-24,182.259995,12218,1285.699951,871.5
1985-04-25,183.429993,12334,1289.5,871.5
1985-04-26,182.179993,12466,1295.300049,871.5
1985-04-29,180.630005,12466,1292.900024,868.700012
1985-04-30,179.830002,12426,1291,874.700012
1985-05-01,178.369995,12457,1301.5,873.900024
1985-05-02,179.009995,12452,1309.099976,863.400024
1985-05-03,180.080002,12452,1310.900024,866.200012
1985-05-06,179.990005,12452,1310.900024,875.400024
1985-05-07,180.759995,12415,1305.5,879.599976
1985-05-08,180.619995,12521,1307.900024,889.599976
1985-05-09,181.919998,12475,1306.300049,889
1985-05-10,184.279999,12527,1315.800049,884.200012
1985-05-13,184.610001,12542,1333,892.700012
1985-05-14,183.869995,12504,1326.5,898.400024
1985-05-15,184.539993,12358,1342.400024,895.200012
1985-05-16,185.660004,12369,1344.199951,902.700012
1985-05-17,187.419998,12420,1327.400024,902.700012
1985-05-20,189.720001,12559,1330.800049,904.599976
1985-05-21,189.639999,12650,1334.099976,898
1985-05-22,188.559998,12697,1333.800049,888.299988
1985-05-23,187.600006,12649,1325.300049,887.400024
1985-05-24,188.289993,12649,1313.800049,873.299988
1985-05-28,187.860001,12695,1317.400024,881.900024
1985-05-29,187.679993,12767,1312,878.099976
1985-05-30,187.75,12790,1314.699951,874.5
1985-05-31,189.550003,12790,1313,873.5
1985-06-03,189.320007,12473,1324.599976,872.299988
1985-06-04,190.039993,12583,1336.599976,861.299988
1985-06-05,190.160004,12693,1335.900024,853.799988
1985-06-06,191.059998,12716,1322,858.299988
1985-06-07,189.679993,12717,1310.599976,858.299988
1985-06-10,189.509995,12683,1299.599976,858.299988
1985-06-11,189.039993,12759,1308.099976,858.299988
1985-06-12,187.610001,12748,1291.400024,854.5
1985-06-13,185.330002,12717,1278.900024,847
1985-06-14,187.100006,12685,1275.5,840.099976
1985-06-17,186.529999,12769,1284.400024,841.5
1985-06-18,187.339996,12741,1284,840.200012
1985-06-19,186.630005,12774,1284.099976,851.5
1985-06-20,186.729996,12678,1276.300049,854.200012
1985-06-21,189.610001,12635,1262,853.799988
1985-06-24,189.149994,12766,1266.599976,857.200012
1985-06-25,189.740005,12857,1248.300049,860.599976
1985-06-26,190.059998,12911,1236.5,862
1985-06-27,191.229996,12842,1234.300049,861.599976
1985-06-28,191.850006,12882,1234.900024,860.799988
1985-07-01,192.429993,12919,1246.800049,860.200012
1985-07-02,192.009995,12914,1250.800049,860.700012
1985-07-03,191.449997,12924,1239.300049,869.900024
1985-07-05,192.520004,12970,1260,882.200012
1985-07-08,191.929993,13030,1258.199951,897
1985-07-09,191.050003,13021,1239.599976,902.200012
1985-07-10,192.369995,13012,1230.400024,905.900024
1985-07-11,192.940002,12858,1238.400024,907.5
1985-07-12,193.289993,12840,1230.800049,908.599976
1985-07-15,192.720001,12599,1243.599976,903.299988
1985-07-16,194.720001,12698,1239.5,902.599976
1985-07-17,195.649994,12848,1247.300049,912.799988
1985-07-18,194.380005,12853,1248.599976,922.400024
1985-07-19,195.130005,12789,1252.5,920.200012
1985-07-22,194.350006,12772,1241.099976,926.299988
1985-07-23,192.550003,12763,1233.099976,933.700012
1985-07-24,191.580002,12777,1236.199951,935.700012
1985-07-25,192.059998,12647,1221.699951,941.200012
1985-07-26,192.399994,12648,1239.699951,934.599976
1985-07-29,189.600006,12591,1248.900024,934.700012
1985-07-30,189.929993,12270,1252.300049,933.200012
1985-07-31,190.919998,12263,1261.699951,936.099976
1985-08-01,192.110001,12538,1287.199951,939.799988
1985-08-02,191.479996,12526,1280.400024,936.700012
1985-08-05,190.619995,12451,1271.800049,940.5
1985-08-06,187.929993,12438,1287.5,937.099976
1985-08-07,187.679993,12421,1286.599976,931.799988
1985-08-08,188.949997,12386,1286,935.099976
1985-08-09,188.320007,12401,1286.300049,941.700012
1985-08-12,187.630005,12373,1288.099976,949.700012
1985-08-13,187.300003,12327,1285.099976,954.200012
1985-08-14,187.410004,12420,1293.099976,956.400024
1985-08-15,187.259995,12484,1302.199951,956.900024
1985-08-16,186.100006,12583,1299.099976,956.099976
1985-08-19,186.380005,12640,1294.900024,954.200012
1985-08-20,188.080002,12664,1307.099976,955.900024
1985-08-21,189.160004,12705,1313.900024,956.599976
1985-08-22,187.360001,12734,1309.699951,954
1985-08-23,187.169998,12691,1313.5,945.200012
1985-08-26,187.309998,12652,1313.5,941.799988
1985-08-27,188.100006,12631,1310.800049,942
1985-08-28,188.830002,12685,1308.199951,946.900024
1985-08-29,188.929993,12729,1323.900024,945.799988
1985-08-30,188.630005,12713,1340.800049,937.799988
1985-09-03,187.910004,12531,1335.5,937.299988
1985-09-04,187.369995,12530,1326.699951,934.400024
1985-09-05,187.270004,12492,1322,934.400024
1985-09-06,188.240005,12454,1332.199951,943.400024
1985-09-09,188.25,12456,1329.300049,955
1985-09-10,186.899994,12520,1311.400024,956
